name	short_name
All People's Congress	APC
Convention People's Party	CPP
Democratic Freedom Party	DFP
Democratic People's Party	DPP
Eagle Party	EP
Ghana Democratic Republican Party	GDRP
Ghana Freedom Party	GFP
Ghana National Party	GNP
Ghana Union Movement	GUM
Great Consolidated Popular Party	GCPP
Liberal Party of Ghana	LPG
National Democratic Congress	NDC
National Democratic Party	NDP
National Reform Party	NRP
New Patriotic Party	NPP
New Vision Party	NVP
People's Action Party	PAP
People's Destiny Party	PDP
People's National Convention	PNC
Power Unity Party	PUP
Progressive People's Party	PPP
Reformed Patriotic Democrats	RPD
United Democratic Party	UDP
United Development System Party(UDSP)	UDSP
United Front Party	UFP
United Ghana Movement	UGM
United Progressive Party	UPP
United Renaissance Party	URP
Yes People's Party	YPP
Independent Candidate	INDPNT