party_id	pres	vice
15	Nana Addo Dankwa Akufo-Addo	Mahamudu Bawumia
12	John Dramani Mahama	Jane Naana Opoku-Agyemang
9	Christian Kwabena Andrews	Abu Grant Lukeman
2	Ivor Kobina Greenstreet	Emmanuel Yaovi Bobobee
7	Akua Donkor	Ernest Adakabre Frimpong Manso
10	Henry Herbert Lartey	Andy Bampoe-Sekyi
1	Hassan Ayariga	Frank Yaw Kuadey
11	Percival Kofi Akpaloo	Margaret Obrine Sarfo
19	David Asibi Ayindenaba Akpasera	Divine Ayivor
21	Brigitte Akosua Dzogbenuku	Kofi Asamoah-Siaw
13	Nana Konadu Agyeman Rawlings	Peter Tennyson Asamoah
30	Alfred Kwame Asiedu Walker	Jacob Osei Yeboah